Month,CAFire
2010-01,3
2010-02,2
2010-03,3
2010-04,3
2010-05,3
2010-06,3
2010-07,4
2010-08,3
2010-09,3
2010-10,3
2010-11,2
2010-12,2
2011-01,4
2011-02,4
2011-03,4
2011-04,4
2011-05,4
2011-06,5
2011-07,5
2011-08,5
2011-09,5
2011-10,4
2011-11,3
2011-12,4
2012-01,3
2012-02,4
2012-03,3
2012-04,3
2012-05,4
2012-06,6
2012-07,6
2012-08,9
2012-09,7
2012-10,4
2012-11,4
2012-12,3
2013-01,3
2013-02,3
2013-03,3
2013-04,4
2013-05,10
2013-06,6
2013-07,8
2013-08,12
2013-09,7
2013-10,5
2013-11,4
2013-12,3
2014-01,6
2014-02,3
2014-03,3
2014-04,4
2014-05,11
2014-06,4
2014-07,7
2014-08,6
2014-09,11
2014-10,4
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,4
2015-04,4
2015-05,3
2015-06,6
2015-07,10
2015-08,15
2015-09,18
2015-10,4
2015-11,3
2015-12,4
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,11
2016-07,15
2016-08,16
2016-09,7
2016-10,4
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,3
2017-04,3
2017-05,4
2017-06,7
2017-07,11
2017-08,6
2017-09,10
2017-10,59
2017-11,4
2017-12,54
2018-01,5
2018-02,4
2018-03,3
2018-04,4
2018-05,4
2018-06,9
2018-07,24
2018-08,41
2018-09,9
2018-10,5
2018-11,99
2018-12,6
2019-01,5
2019-02,4
2019-03,4
2019-04,4
2019-05,4
2019-06,7
2019-07,7
2019-08,7
2019-09,11
2019-10,62
2019-11,12
2019-12,4
2020-01,4
2020-02,4
2020-03,4
2020-04,3
2020-05,4
2020-06,8
2020-07,9
2020-08,82
2020-09,100
2020-10,19
2020-11,5
2020-12,8
2021-01,4
2021-02,4
2021-03,4
2021-04,4
2021-05,7
2021-06,9
2021-07,19
2021-08,47
2021-09,17
2021-10,7
2021-11,5
2021-12,3
2022-01,4
2022-02,4
2022-03,4
