Month,USFire
2010-01,3
2010-02,2
2010-03,3
2010-04,3
2010-05,3
2010-06,3
2010-07,4
2010-08,3
2010-09,4
2010-10,3
2010-11,2
2010-12,2
2011-01,3
2011-02,3
2011-03,3
2011-04,2
2011-05,3
2011-06,3
2011-07,4
2011-08,3
2011-09,4
2011-10,2
2011-11,2
2011-12,3
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,3
2012-06,4
2012-07,4
2012-08,6
2012-09,4
2012-10,3
2012-11,3
2012-12,2
2013-01,2
2013-02,2
2013-03,2
2013-04,2
2013-05,8
2013-06,4
2013-07,6
2013-08,8
2013-09,4
2013-10,3
2013-11,2
2013-12,2
2014-01,4
2014-02,2
2014-03,2
2014-04,3
2014-05,8
2014-06,3
2014-07,4
2014-08,4
2014-09,8
2014-10,3
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,3
2015-04,3
2015-05,2
2015-06,4
2015-07,7
2015-08,10
2015-09,12
2015-10,3
2015-11,2
2015-12,3
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,2
2016-06,7
2016-07,10
2016-08,10
2016-09,4
2016-10,3
2016-11,2
2016-12,4
2017-01,2
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,4
2017-07,6
2017-08,4
2017-09,8
2017-10,48
2017-11,3
2017-12,46
2018-01,4
2018-02,3
2018-03,2
2018-04,2
2018-05,3
2018-06,5
2018-07,21
2018-08,33
2018-09,6
2018-10,3
2018-11,100
2018-12,6
2019-01,4
2019-02,3
2019-03,3
2019-04,3
2019-05,3
2019-06,5
2019-07,4
2019-08,4
2019-09,10
2019-10,45
2019-11,9
2019-12,3
2020-01,3
2020-02,3
2020-03,3
2020-04,2
2020-05,3
2020-06,5
2020-07,5
2020-08,51
2020-09,72
2020-10,15
2020-11,3
2020-12,5
2021-01,3
2021-02,2
2021-03,2
2021-04,3
2021-05,4
2021-06,6
2021-07,14
2021-08,30
2021-09,10
2021-10,4
2021-11,3
2021-12,2
2022-01,3
2022-02,3
2022-03,3
