Name,Length of Nationwide Google Interest,Hectares,Start date,End date,Year,Duration,Structures,Ln Structure,Deaths,Number of Fires,Cost,Number of Counties,Largest County (by pop size),Pop Size,Median Household Income,Peak Interest,Peak Interest CA
August Complex,65,417898,8/16/2020,11/12/2020,2020,88,935,6.841615476,1,37,319800000.00,6,Shasta,180080,"57,139",2,3
Dixie,67,389837,7/13/2021,10/25/2021,2021,104,1329,7.192934221,1,1,1150000000.00,5,Butte,219186,"54,972",31,49
Mendocino Complex,25,185800,7/27/2018,1/4/2019,2019,161,280,5.638354669,1,NA,257000000.00,4,Mendocino,86749,"52,915",12,6
SCU Lightning Complex,23,160508,8/16/2020,10/1/2020,2020,46,222,5.407171771,0,NA,NA,6,Alameda,1671329,"104,888",5,6
Creek,46,153738,9/4/2020,12/24/2020,2020,111,856,6.753437919,0,NA,193000000.00,2,Fresno,999101,"57,109",56,41
LNU Lightning Complex,11,146990,8/17/2020,10/2/2020,2020,46,1491,7.307872781,6,250,NA,6,Sonoma,494336,"86,173",2,2
North Complex,41,129068,8/17/2020,12/3/2020,2020,108,2352,7.763446389,15,NA,NA,2,Butte,219186,"54,972",2,3
Thomas,32,114078,12/4/2017,3/22/2018,2018,108,1063,6.96979067,23,NA,2200000000.00,2,Ventura,846006,"89,295",49,62
Rush,16,110038,8/12/2012,8/30/2012,2012,18,0,0,0,NA,NA,2,Lassen,32730,56971,1,1
Rim,31,104131,8/17/2013,11/4/2014,2014,444,112,4.727387819,0,NA,127350000.00,2,Tuolumne,54478,"60,509",17,16
Zaca,58,97208,7/4/2007,10/29/2007,2007,117,1,0.6931471806,0,NA,118300000.00,1,Santa Barbara,446499,78925,10,11
Carr,24,92936,7/23/2018,1/4/2019,2019,165,1614,7.387090236,8,NA,1659000000.00,2,Shasta,180080,"57,139",59,54
Monument,60,90295,7/30/2021,10/27/2021,2021,89,50,3.931825633,0,NA,NA,1,Trinity,12285,"41,780",2,3
Caldor,28,89773,8/14/2021,10/21/2021,2021,68,1003,6.9117473,1,NA,NA,3,El Dorado,192843,83710,79,63
River Complex,87,80671,7/30/2021,10/25/2021,2021,87,122,4.812184355,0,NA,NA,1,Siskyou,471519,47403,1,1
Witch,7,80120,10/21/2007,11/13/2007,2007,23,1650,7.409136444,2,NA,1339000000.00,1,San Diego,3338330,82426,10,8
Camp,25,62050,11/8/2018,11/25/2018,2018,17,18804,9.841878071,85,NA,16650000000.00,1,Butte,219186,"54,972",100,100
Redwood Valley,8,14780,10/9/2017,10/26/2017,2017,17,544,6.300785795,9,250,14500000000.00,5,Solano,447643,"84,638",0,2
Tubbs,13,14895,10/8/2017,10/31/2017,2017,23,5643,8.638348313,22,NA,1300000000.00,3,Sonoma,494336,"86,173",11,12
Valley,16,30783,9/12/2015,10/15/2015,2015,33,1955,7.578656851,4,NA,921000000.00,1,Lake,64386,"49,254",24,26
Woolsey,12,39234,11/8/2018,11/21/2018,2018,13,1643,7.404887576,3,NA,6000000000.00,2,Los Angeles,10039107,71358,47,49
Glass,16,27310,9/27/2020,10/20/2020,2020,23,1520,7.327123292,0,NA,NA,2,Sonoma,494336,"86,173",35,11
CZU Lightning Complex,18,35009,8/16/2020,9/22/2020,2020,37,1490,7.307202315,1,NA,NA,2,San Mateo,766573,128091,2,4
Nuns,13,22008,10/16/2017,11/16/2017,2017,31,1355,7.212294469,3,250,14500000000.00,2,Sonoma,494336,"86,173",2,2
Butte,12,28679,9/9/2015,10/1/2015,2015,22,921,6.826545224,2,NA,NA,1,Amador,39752,"65,187",17,20
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
From:,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_California_wildfires,,,,,,,,,,,,,,,,,
"""List of Largest Fires""",,,,,,,,,,,,,,,,,
